p_id,haptic_id,letter_id,trial_id,start_trial_time,curr_trial_time,total_trial_time,x_pos,y_pos,speed,acceleration,jerk,x_force,y_force
0,0,,0,1617570754208,1617570759508,5300,32.54943,13.065505,3.0,0.0,0.0,0.24236299,-0.79177713
0,0,,0,1617570754208,1617570759525,5317,32.572136,13.079441,3.0,0.0,0.0,0.2440268,-0.9375783
0,0,,0,1617570754208,1617570759533,5325,32.583694,13.086822,3.0,0.0,0.0,0.2534956,-1.0202782
0,0,,0,1617570754208,1617570759550,5342,32.6132,13.106304,3.0,0.0,0.0,0.32967538,-1.271691
0,0,,0,1617570754208,1617570759558,5350,32.626698,13.115445,3.0,0.0,0.0,0.3710027,-1.3924823
0,0,,0,1617570754208,1617570759566,5358,32.646557,13.129067,3.0,0.0,0.0,0.45271996,-1.5854735
0,0,,0,1617570754208,1617570759575,5367,32.669846,13.145195,3.0,0.0,0.0,0.5093067,-1.7854991
0,0,,0,1617570754208,1617570759591,5383,32.715263,13.176801,3.0,0.0,0.0,0.5166572,-2.1067874
0,0,,0,1617570754208,1617570759599,5391,32.73409,13.189916,3.0,0.0,0.0,0.45594347,-2.197754
0,0,,0,1617570754208,1617570759608,5400,32.75856,13.206966,3.0,0.0,0.0,0.41931382,-2.3442824
0,0,,0,1617570754208,1617570759624,5416,32.79373,13.231485,3.0,0.0,0.0,0.35864928,-2.5496433
0,0,,0,1617570754208,1617570759633,5425,32.810715,13.243328,3.0,0.0,0.0,0.32049772,-2.6429584
0,0,,0,1617570754208,1617570759641,5433,32.824295,13.252791,3.0,0.0,0.0,-2.060986,-0.9845835
0,0,,0,1617570754208,1617570759650,5442,32.838028,13.262366,3.0,0.0,0.0,-1.995712,-0.9310311
0,0,,0,1617570754208,1617570759658,5450,32.848225,13.269473,3.0,0.0,0.0,-1.9296502,-0.9044364
0,0,,0,1617570754208,1617570759667,5459,32.8603,13.277896,3.0,0.0,0.0,-1.8364062,-0.88359624
0,0,,0,1617570754208,1617570759675,5467,32.871338,13.285596,3.0,0.0,0.0,-1.7663444,-0.85371476
0,0,,0,1617570754208,1617570759689,5481,32.891335,13.299055,3.0,0.0,0.0,-1.626831,-0.78204864
0,0,,0,1617570754208,1617570759696,5488,32.90098,13.304828,3.0,0.0,0.0,-1.5781679,-0.74563533
0,0,,0,1617570754208,1617570759705,5497,32.912735,13.311913,3.0,0.0,0.0,-1.501231,-0.7142985
0,0,,0,1617570754208,1617570759713,5505,32.92244,13.317789,3.0,0.0,0.0,-1.4524169,-0.67756736
0,0,,0,1617570754208,1617570759720,5512,32.93069,13.322738,3.0,0.0,0.0,-1.4286019,-0.63330436
0,0,,0,1617570754208,1617570759737,5529,32.94868,13.333813,3.0,0.0,0.0,-1.2676948,-0.61738163
0,0,,0,1617570754208,1617570759746,5538,32.959343,13.340634,3.0,0.0,0.0,-1.1247888,-0.64213127
0,0,,0,1617570754208,1617570759754,5546,32.971302,13.348404,3.0,0.0,0.0,-1.04932,-0.6092716
0,0,,0,1617570754208,1617570759762,5554,32.983772,13.3565645,3.0,0.0,0.0,-0.93392825,-0.6006415
0,0,,0,1617570754208,1617570759771,5563,32.997917,13.365964,3.0,0.0,0.0,-0.8375006,-0.5933751
0,0,,0,1617570754208,1617570759779,5571,33.011787,13.376352,3.0,0.0,0.0,-0.73690164,-0.56436074
0,0,,0,1617570754208,1617570759787,5579,33.024635,13.385984,3.0,0.0,0.0,-0.6689407,-0.54773384
0,0,,0,1617570754208,1617570759796,5588,33.037685,13.397332,3.0,0.0,0.0,-0.5660864,-0.55417454
0,0,,0,1617570754208,1617570759813,5605,33.06756,13.425636,3.0,0.0,0.0,-0.35289854,-0.54964936
0,0,,0,1617570754208,1617570759821,5613,33.08189,13.441266,3.0,0.0,0.0,-0.2810191,-0.5555539
0,0,,0,1617570754208,1617570759830,5622,33.09775,13.458841,3.0,0.0,0.0,-0.207611,-0.49885425
0,0,,0,1617570754208,1617570759838,5630,33.11132,13.474918,3.0,0.0,0.0,-0.123508096,-0.520104
0,0,,0,1617570754208,1617570759872,5664,33.165806,13.547993,3.0,0.0,0.0,0.1383695,-0.4779414
0,0,,0,1617570754208,1617570759880,5672,33.1778,13.566699,3.0,0.0,0.0,0.17463127,-0.45327845
